2025_03_29__15:54:32.280186: CONFIG: VISUALIZE: True, CAMERA_MODE: sim, COMM_MODE: sim, AGENT_MODE: 0, MISSION: 0, LOGGER: True, WEIGHTS_PATH: yolov5/weights/yolov5_models/best_adri.pt, 
2025_03_29__15:54:39.474464: Iter 34, FPS: 9.3, STATE: {'status': 'as_driving', 'speed': 5.059372901916504, 'rpm': -1.0, 'speed_senfl': -1.0, 'fps': 9.312645985239394, 'orientation_y_rad': 0.0}, ACTUATION: {'acc': 0, 'steer': -0.0004541568442424926, 'throttle': 0.0, 'brake': 0.005937290191650391}
2025_03_29__15:54:39.581802: Iter 35, FPS: 9.8, STATE: {'status': 'as_driving', 'speed': 4.896213054656982, 'rpm': -1.0, 'speed_senfl': -1.0, 'fps': 9.786696284404954, 'orientation_y_rad': 0.0}, ACTUATION: {'acc': 1.0, 'steer': -0.011500792303401952, 'throttle': 0.0, 'brake': 0.005937290191650391}
2025_03_29__15:54:39.689345: Iter 36, FPS: 9.3, STATE: {'status': 'as_driving', 'speed': 5.008086681365967, 'rpm': -1.0, 'speed_senfl': -1.0, 'fps': 9.31676251529913, 'orientation_y_rad': 0.0}, ACTUATION: {'acc': 0, 'steer': 0.2864958432166384, 'throttle': 0.0, 'brake': 0.0008086681365966797}
2025_03_29__15:54:39.795118: Iter 37, FPS: 9.3, STATE: {'status': 'as_driving', 'speed': 5.965167045593262, 'rpm': -1.0, 'speed_senfl': -1.0, 'fps': 9.299081022957798, 'orientation_y_rad': 0.0}, ACTUATION: {'acc': 0, 'steer': 0.27348305518153354, 'throttle': 0.0, 'brake': 0.09651670455932618}
2025_03_29__15:54:39.901224: Iter 38, FPS: 9.5, STATE: {'status': 'as_driving', 'speed': 6.748758316040039, 'rpm': -1.0, 'speed_senfl': -1.0, 'fps': 9.455063525126013, 'orientation_y_rad': 0.0}, ACTUATION: {'acc': 0, 'steer': 0.24649444526997427, 'throttle': 0.0, 'brake': 0.1748758316040039}
2025_03_29__15:54:40.007447: Iter 39, FPS: 9.4, STATE: {'status': 'as_driving', 'speed': 7.356643199920654, 'rpm': -1.0, 'speed_senfl': -1.0, 'fps': 9.42540224719101, 'orientation_y_rad': 0.0}, ACTUATION: {'acc': 0, 'steer': 0.18271309689633075, 'throttle': 0.0, 'brake': 0.23566431999206544}
2025_03_29__15:54:40.117354: Iter 40, FPS: 9.4, STATE: {'status': 'as_driving', 'speed': 7.313772678375244, 'rpm': -1.0, 'speed_senfl': -1.0, 'fps': 9.414570202373898, 'orientation_y_rad': 0.0}, ACTUATION: {'acc': 0, 'steer': 0.10365578529215358, 'throttle': 0.0, 'brake': 0.23137726783752444}
2025_03_29__15:54:40.228526: Iter 41, FPS: 9.1, STATE: {'status': 'as_driving', 'speed': 6.875462532043457, 'rpm': -1.0, 'speed_senfl': -1.0, 'fps': 9.099437889013995, 'orientation_y_rad': 0.0}, ACTUATION: {'acc': 0, 'steer': 0.03199391186094391, 'throttle': 0.0, 'brake': 0.1875462532043457}
2025_03_29__15:54:40.337595: Iter 42, FPS: 9.0, STATE: {'status': 'as_driving', 'speed': 6.414715766906738, 'rpm': -1.0, 'speed_senfl': -1.0, 'fps': 8.99569121750451, 'orientation_y_rad': 0.0}, ACTUATION: {'acc': 0, 'steer': -0.0013200352825462613, 'throttle': 0.0, 'brake': 0.14147157669067384}
2025_03_29__15:54:40.418557: Iter 43, FPS: 9.2, STATE: {'status': 'as_driving', 'speed': 6.157926082611084, 'rpm': -1.0, 'speed_senfl': -1.0, 'fps': 9.167917673957044, 'orientation_y_rad': 0.0}, ACTUATION: {'acc': 0, 'steer': 0.35019597477163866, 'throttle': 0.0, 'brake': 0.1157926082611084}
2025_03_29__15:54:40.531135: Iter 44, FPS: 12.4, STATE: {'status': 'as_driving', 'speed': 5.757060527801514, 'rpm': -1.0, 'speed_senfl': -1.0, 'fps': 12.354938671631064, 'orientation_y_rad': 0.0}, ACTUATION: {'acc': 0, 'steer': 0.5, 'throttle': 0.0, 'brake': 0.07570605278015137}
2025_03_29__15:54:40.638156: Iter 45, FPS: 8.9, STATE: {'status': 'as_driving', 'speed': 5.444587230682373, 'rpm': -1.0, 'speed_senfl': -1.0, 'fps': 8.883545874872656, 'orientation_y_rad': 0.0}, ACTUATION: {'acc': 0, 'steer': 0.4506396490885103, 'throttle': 0.0, 'brake': 0.04445872306823731}
2025_03_29__15:54:40.744406: Iter 46, FPS: 9.3, STATE: {'status': 'as_driving', 'speed': 5.130736827850342, 'rpm': -1.0, 'speed_senfl': -1.0, 'fps': 9.343723406625232, 'orientation_y_rad': 0.0}, ACTUATION: {'acc': 0, 'steer': 0.3441019831281664, 'throttle': 0.0, 'brake': 0.01307368278503418}
2025_03_29__15:54:40.823962: Iter 47, FPS: 9.4, STATE: {'status': 'as_driving', 'speed': 5.059891700744629, 'rpm': -1.0, 'speed_senfl': -1.0, 'fps': 9.413217947106666, 'orientation_y_rad': 0.0}, ACTUATION: {'acc': 0, 'steer': 0.2427178775717625, 'throttle': 0.0, 'brake': 0.005989170074462891}
2025_03_29__15:54:40.941225: Iter 48, FPS: 12.6, STATE: {'status': 'as_driving', 'speed': 4.835373878479004, 'rpm': -1.0, 'speed_senfl': -1.0, 'fps': 12.57112028916876, 'orientation_y_rad': 0.0}, ACTUATION: {'acc': 1.0, 'steer': 0.15212706917434693, 'throttle': 0.0, 'brake': 0.005989170074462891}
2025_03_29__15:54:41.055164: Iter 49, FPS: 8.5, STATE: {'status': 'as_driving', 'speed': 5.008729934692383, 'rpm': -1.0, 'speed_senfl': -1.0, 'fps': 8.528405625005083, 'orientation_y_rad': 0.0}, ACTUATION: {'acc': 0, 'steer': 0.07504134374209842, 'throttle': 0.0, 'brake': 0.0008729934692382813}
2025_03_29__15:54:41.161728: Iter 50, FPS: 8.8, STATE: {'status': 'as_driving', 'speed': 5.979490280151367, 'rpm': -1.0, 'speed_senfl': -1.0, 'fps': 8.77333634541933, 'orientation_y_rad': 0.0}, ACTUATION: {'acc': 0, 'steer': 0.014767985365275627, 'throttle': 0.0, 'brake': 0.09794902801513672}
2025_03_29__15:54:41.288315: Iter 51, FPS: 9.4, STATE: {'status': 'as_driving', 'speed': 6.986055850982666, 'rpm': -1.0, 'speed_senfl': -1.0, 'fps': 9.387703760404847, 'orientation_y_rad': 0.0}, ACTUATION: {'acc': 0, 'steer': -0.02692784471662557, 'throttle': 0.0, 'brake': 0.19860558509826662}
2025_03_29__15:54:41.406354: Iter 52, FPS: 7.9, STATE: {'status': 'as_driving', 'speed': 7.586742401123047, 'rpm': -1.0, 'speed_senfl': -1.0, 'fps': 7.900722579284051, 'orientation_y_rad': 0.0}, ACTUATION: {'acc': 0, 'steer': 0.3909106326345586, 'throttle': 0.0, 'brake': 0.2586742401123047}
2025_03_29__15:54:41.524360: Iter 53, FPS: 8.5, STATE: {'status': 'as_driving', 'speed': 7.3113250732421875, 'rpm': -1.0, 'speed_senfl': -1.0, 'fps': 8.474471343653901, 'orientation_y_rad': 0.0}, ACTUATION: {'acc': 0, 'steer': 0.5, 'throttle': 0.0, 'brake': 0.23113250732421875}
2025_03_29__15:54:41.670902: Iter 54, FPS: 8.5, STATE: {'status': 'as_driving', 'speed': 6.480072498321533, 'rpm': -1.0, 'speed_senfl': -1.0, 'fps': 8.474848053795423, 'orientation_y_rad': 0.0}, ACTUATION: {'acc': 0, 'steer': 0.5, 'throttle': 0.0, 'brake': 0.14800724983215333}
2025_03_29__15:54:41.813097: Iter 55, FPS: 6.8, STATE: {'status': 'as_driving', 'speed': 5.92990255355835, 'rpm': -1.0, 'speed_senfl': -1.0, 'fps': 6.82441185610874, 'orientation_y_rad': 0.0}, ACTUATION: {'acc': 0, 'steer': 0.5, 'throttle': 0.0, 'brake': 0.09299025535583497}
2025_03_29__15:54:41.925049: Iter 56, FPS: 7.0, STATE: {'status': 'as_driving', 'speed': 5.509243011474609, 'rpm': -1.0, 'speed_senfl': -1.0, 'fps': 7.033268941833011, 'orientation_y_rad': 0.0}, ACTUATION: {'acc': 0, 'steer': 0.5, 'throttle': 0.0, 'brake': 0.05092430114746094}
2025_03_29__15:54:42.032739: Iter 57, FPS: 8.9, STATE: {'status': 'as_driving', 'speed': 5.211298942565918, 'rpm': -1.0, 'speed_senfl': -1.0, 'fps': 8.932337231985416, 'orientation_y_rad': 0.0}, ACTUATION: {'acc': 0, 'steer': 0.5, 'throttle': 0.0, 'brake': 0.0211298942565918}
2025_03_29__15:54:42.151136: Iter 58, FPS: 9.3, STATE: {'status': 'as_driving', 'speed': 5.006974697113037, 'rpm': -1.0, 'speed_senfl': -1.0, 'fps': 9.28736487354245, 'orientation_y_rad': 0.0}, ACTUATION: {'acc': 0, 'steer': 0.47171944181241116, 'throttle': 0.0, 'brake': 0.000697469711303711}
2025_03_29__15:54:42.261483: Iter 59, FPS: 8.4, STATE: {'status': 'as_driving', 'speed': 4.863168239593506, 'rpm': -1.0, 'speed_senfl': -1.0, 'fps': 8.444629673252356, 'orientation_y_rad': 0.0}, ACTUATION: {'acc': 1.0, 'steer': 0.38890698299881166, 'throttle': 0.0, 'brake': 0.000697469711303711}
2025_03_29__15:54:42.376316: Iter 60, FPS: 9.1, STATE: {'status': 'as_driving', 'speed': 4.994487762451172, 'rpm': -1.0, 'speed_senfl': -1.0, 'fps': 9.065589998746384, 'orientation_y_rad': 0.0}, ACTUATION: {'acc': 1.0, 'steer': 0.20075788853682458, 'throttle': 0.0, 'brake': 0.000697469711303711}
2025_03_29__15:54:42.408396: [   0.064996    0.040232  1.6721e-05   0.0003648   0.0082972           0]
