2025_03_29__15:59:23.855094: CONFIG: VISUALIZE: True, CAMERA_MODE: sim, COMM_MODE: sim, AGENT_MODE: 0, MISSION: 0, LOGGER: True, WEIGHTS_PATH: yolov5/weights/yolov5_models/best_adri.pt, 
2025_03_29__15:59:31.115744: Iter 29, FPS: 9.4, STATE: {'status': 'as_driving', 'speed': -0.0005764265661127865, 'rpm': -1.0, 'speed_senfl': -1.0, 'fps': 9.384217132450168, 'orientation_y_rad': 0.0}, ACTUATION: {'acc': 1.0, 'steer': 1.0, 'throttle': 0.0, 'brake': 0.04996647834777832}
2025_03_29__15:59:31.224034: Iter 30, FPS: 9.4, STATE: {'status': 'as_driving', 'speed': -0.0012129475362598896, 'rpm': -1.0, 'speed_senfl': -1.0, 'fps': 9.4047962329727, 'orientation_y_rad': 0.0}, ACTUATION: {'acc': 1.0, 'steer': 1.0, 'throttle': 0.0, 'brake': 0.04996647834777832}
2025_03_29__15:59:31.328392: Iter 31, FPS: 9.2, STATE: {'status': 'as_driving', 'speed': -0.00034925315412692726, 'rpm': -1.0, 'speed_senfl': -1.0, 'fps': 9.235076656149335, 'orientation_y_rad': 0.0}, ACTUATION: {'acc': 1.0, 'steer': 1.0, 'throttle': 0.0, 'brake': 0.04996647834777832}
2025_03_29__15:59:31.435263: Iter 32, FPS: 9.6, STATE: {'status': 'as_driving', 'speed': -0.0009409564081579447, 'rpm': -1.0, 'speed_senfl': -1.0, 'fps': 9.583388169920305, 'orientation_y_rad': 0.0}, ACTUATION: {'acc': 1.0, 'steer': 1.0, 'throttle': 0.0, 'brake': 0.04996647834777832}
2025_03_29__15:59:31.542777: Iter 33, FPS: 9.4, STATE: {'status': 'as_driving', 'speed': -0.0009461650042794645, 'rpm': -1.0, 'speed_senfl': -1.0, 'fps': 9.351619023836651, 'orientation_y_rad': 0.0}, ACTUATION: {'acc': 1.0, 'steer': 1.0, 'throttle': 0.0, 'brake': 0.04996647834777832}
2025_03_29__15:59:31.648269: Iter 34, FPS: 9.3, STATE: {'status': 'as_driving', 'speed': -0.0006298059015534818, 'rpm': -1.0, 'speed_senfl': -1.0, 'fps': 9.303288742594395, 'orientation_y_rad': 0.0}, ACTUATION: {'acc': 1.0, 'steer': 1.0, 'throttle': 0.0, 'brake': 0.04996647834777832}
2025_03_29__15:59:31.755451: Iter 35, FPS: 9.5, STATE: {'status': 'as_driving', 'speed': 4.586890645441599e-05, 'rpm': -1.0, 'speed_senfl': -1.0, 'fps': 9.484483117306006, 'orientation_y_rad': 0.0}, ACTUATION: {'acc': 1.0, 'steer': 1.0, 'throttle': 0.0, 'brake': 0.04996647834777832}
2025_03_29__15:59:31.860475: Iter 36, FPS: 9.3, STATE: {'status': 'as_driving', 'speed': -4.985131818102673e-05, 'rpm': -1.0, 'speed_senfl': -1.0, 'fps': 9.330752768545585, 'orientation_y_rad': 0.0}, ACTUATION: {'acc': 1.0, 'steer': 1.0, 'throttle': 0.0, 'brake': 0.04996647834777832}
2025_03_29__15:59:31.967815: Iter 37, FPS: 9.5, STATE: {'status': 'as_driving', 'speed': 0.0004784064367413521, 'rpm': -1.0, 'speed_senfl': -1.0, 'fps': 9.52212132219397, 'orientation_y_rad': 0.0}, ACTUATION: {'acc': 1.0, 'steer': 1.0, 'throttle': 0.0, 'brake': 0.04996647834777832}
2025_03_29__15:59:32.073345: Iter 38, FPS: 9.3, STATE: {'status': 'as_driving', 'speed': 0.00015807196905370802, 'rpm': -1.0, 'speed_senfl': -1.0, 'fps': 9.315686487903145, 'orientation_y_rad': 0.0}, ACTUATION: {'acc': 1.0, 'steer': 1.0, 'throttle': 0.0, 'brake': 0.04996647834777832}
