2025_03_29__14:19:37.687632: CONFIG: VISUALIZE: True, CAMERA_MODE: sim, COMM_MODE: sim, AGENT_MODE: 0, MISSION: 0, LOGGER: True, WEIGHTS_PATH: yolov5/weights/yolov5_models/best_adri.pt, 
2025_03_29__14:19:52.847638: Iter 28, FPS: 9.0, STATE: {'status': 'as_driving', 'speed': 5.586500644683838, 'rpm': -1.0, 'speed_senfl': -1.0, 'fps': 9.036196024275746, 'orientation_y_rad': 0.0}, ACTUATION: {'acc': 0, 'steer': 0.025698320725034696, 'throttle': 0.0, 'brake': 0.05865006446838379}
2025_03_29__14:19:52.950994: Iter 29, FPS: 7.0, STATE: {'status': 'as_driving', 'speed': 5.313409328460693, 'rpm': -1.0, 'speed_senfl': -1.0, 'fps': 7.011470964851573, 'orientation_y_rad': 0.0}, ACTUATION: {'acc': 0, 'steer': 0.02133210173405492, 'throttle': 0.0, 'brake': 0.031340932846069335}
2025_03_29__14:19:53.060062: Iter 30, FPS: 9.7, STATE: {'status': 'as_driving', 'speed': 5.090646266937256, 'rpm': -1.0, 'speed_senfl': -1.0, 'fps': 9.675687272341397, 'orientation_y_rad': 0.0}, ACTUATION: {'acc': 0, 'steer': 0.016188081008329358, 'throttle': 0.0, 'brake': 0.009064626693725587}
2025_03_29__14:19:53.171271: Iter 31, FPS: 9.2, STATE: {'status': 'as_driving', 'speed': 4.913250923156738, 'rpm': -1.0, 'speed_senfl': -1.0, 'fps': 9.169661420473053, 'orientation_y_rad': 0.0}, ACTUATION: {'acc': 1.0, 'steer': 0.01591331856446171, 'throttle': 0.0, 'brake': 0.009064626693725587}
2025_03_29__14:19:53.276540: Iter 32, FPS: 9.0, STATE: {'status': 'as_driving', 'speed': 5.036954879760742, 'rpm': -1.0, 'speed_senfl': -1.0, 'fps': 8.993222337768152, 'orientation_y_rad': 0.0}, ACTUATION: {'acc': 0, 'steer': 0.0044012974732548504, 'throttle': 0.0, 'brake': 0.0036954879760742188}
2025_03_29__14:19:53.388348: Iter 33, FPS: 9.5, STATE: {'status': 'as_driving', 'speed': 5.996901988983154, 'rpm': -1.0, 'speed_senfl': -1.0, 'fps': 9.500574206247636, 'orientation_y_rad': 0.0}, ACTUATION: {'acc': 0, 'steer': 0.0013007409566542782, 'throttle': 0.0, 'brake': 0.09969019889831543}
2025_03_29__14:19:53.495818: Iter 34, FPS: 8.9, STATE: {'status': 'as_driving', 'speed': 6.864984512329102, 'rpm': -1.0, 'speed_senfl': -1.0, 'fps': 8.942907278964796, 'orientation_y_rad': 0.0}, ACTUATION: {'acc': 0, 'steer': 0.003513660761369497, 'throttle': 0.0, 'brake': 0.18649845123291017}
2025_03_29__14:19:53.599518: Iter 35, FPS: 9.3, STATE: {'status': 'as_driving', 'speed': 7.517789840698242, 'rpm': -1.0, 'speed_senfl': -1.0, 'fps': 9.30727308231702, 'orientation_y_rad': 0.0}, ACTUATION: {'acc': 0, 'steer': 0.06128860383171458, 'throttle': 0.0, 'brake': 0.25177898406982424}
2025_03_29__14:19:53.716951: Iter 36, FPS: 9.6, STATE: {'status': 'as_driving', 'speed': 7.328494071960449, 'rpm': -1.0, 'speed_senfl': -1.0, 'fps': 9.643541318912755, 'orientation_y_rad': 0.0}, ACTUATION: {'acc': 0, 'steer': 0.054434497689964556, 'throttle': 0.0, 'brake': 0.23284940719604494}
2025_03_29__14:19:53.823048: Iter 37, FPS: 8.5, STATE: {'status': 'as_driving', 'speed': 6.822574615478516, 'rpm': -1.0, 'speed_senfl': -1.0, 'fps': 8.516854799571954, 'orientation_y_rad': 0.0}, ACTUATION: {'acc': 0, 'steer': 0.03787667803112821, 'throttle': 0.0, 'brake': 0.18225746154785158}
2025_03_29__14:19:53.937028: Iter 38, FPS: 9.4, STATE: {'status': 'as_driving', 'speed': 6.3706159591674805, 'rpm': -1.0, 'speed_senfl': -1.0, 'fps': 9.425444608739815, 'orientation_y_rad': 0.0}, ACTUATION: {'acc': 0, 'steer': 0.016869186972920946, 'throttle': 0.0, 'brake': 0.13706159591674805}
2025_03_29__14:19:54.054806: Iter 39, FPS: 8.8, STATE: {'status': 'as_driving', 'speed': 5.979843616485596, 'rpm': -1.0, 'speed_senfl': -1.0, 'fps': 8.774015400481552, 'orientation_y_rad': 0.0}, ACTUATION: {'acc': 0, 'steer': 0.0019616036173764617, 'throttle': 0.0, 'brake': 0.09798436164855957}
